"EconomicActivity","Dependants","LOYALTY","Housing","POLICY_ID","NAME","Industry","LeadSource","Education","Relationship","LOCATION_ID","AGE","SocialGrade"
"Full-Time Student","Two","Silver","Apartment","PN-099693","Myrna M NOLAN","Construction","Event","Aprenticeship","Married","LOC_ID_578","","C1"
"Self Employed","One","Platinum","Apartment","PN-124397","Pamala NOLAN","Health","Event","Degree","Single","LOC_ID_578","","C1"
"Part-Time","One","Platinum","Detached","PN02-013210","Theron T NOLAN","Accommodation and Food","Online","Other","Divorced","LOC_ID_578","","C2"
"Full-Time","Two","Gold","Apartment","PN02-031435","Twanda NOLAN","Accommodation and Food","Refferal","High School","Single","LOC_ID_578","","C2"
"Part-Time","One","Platinum","Terraces","PN02-125599","Altha NORRIS","Accommodation and Food","Online","Higher Education","Widowed","LOC_ID_578","","C2"
"Full-Time","One","Gold","Apartment","PN03-046444","Bobby NORRIS","Retail","Online","High School","Single","LOC_ID_578","","DE"
"Self Employed","One","Bronze","Semi-Detached	","PN03-120077","Colleen NORRIS","Transportation","Online","Degree","Single","LOC_ID_578","","C2"
"Full-Time","Four","Bronze","Apartment","PN01-084774","Korey NORRIS","Health","Online","Degree","Married","LOC_ID_579","","C1"
"Other","One","Gold","Apartment","PN02-121283","Mona NORRIS","Education","Refferal","Higher Education","Divorced","LOC_ID_579","","AB"
"Full-Time","One","Silver","Apartment","PN03-121516","Sixta S NORRIS","Accommodation and Food","Event","High School","Single","LOC_ID_579","","C2"
"Unemployed","One","Platinum","Semi-Detached	","PN01-097087","Adrien NOVAK","Health","Online","Higher Education","Married","LOC_ID_581","","C1"
"Part-Time","One","Gold","Detached","PN03-101331","Bruno NOVAK","Manufacturing","Online","Degree","Divorced","LOC_ID_581","","C1"
"Unemployed","One","Bronze","Apartment","PN04-029453","Cathryn C NOVAK","Education","Event","Degree","Separated","LOC_ID_581","","C2"
"Self Employed","Two","Gold","Semi-Detached	","PN01-011527","Deon D NOVAK","Health","Online","Degree","Single","LOC_ID_587","","DE"
"Full-Time","Zero","Platinum","Detached","PN01-126709","Emelina NOVAK","Health","Event","Degree","Widowed","LOC_ID_587","","C2"
"Unemployed","One","Platinum","Terraces","PN-003689","Larry L NOVAK","Public Administration and Defence","Online","High School","Separated","LOC_ID_591","","C1"
"Self Employed","Two","Silver","Detached","PN02-034016","Sylvester NOVAK","Transportation","Event","Aprenticeship","Married","LOC_ID_597","","DE"
"Part-Time","One","Bronze","Terraces","PN-088202","Cristi NUNEZ","Professional, Scientific and Technical","Online","Degree","Divorced","LOC_ID_598","","AB"
"Full-Time","One","Gold","Terraces","PN03-060217","June J NUNEZ","Transportation","Refferal","Aprenticeship","Married","LOC_ID_598","","DE"
"Full-Time","One","Silver","Terraces","PN-031976","Margene NUNEZ","Health","Online","Degree","Single","LOC_ID_6","","C2"
"Full-Time","Three","Bronze","Semi-Detached	","PN01-003028","Martin NUNEZ","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_6","","AB"
"Full-Time","Three","Platinum","Terraces","PN01-028869","Noemi N NUNEZ","Health","Online","Degree","Single","LOC_ID_6","","C2"
"Full-Time","One","Platinum","Semi-Detached	","PN04-025811","Willis NUNEZ","Health","Online","Other","Single","LOC_ID_6","","C1"
"Other","One","Platinum","Semi-Detached	","PN01-086407","Cherri OBRIEN","Accommodation and Food","Event","Other","Single","LOC_ID_604","","C2"
"Full-Time","One","Platinum","Terraces","PN02-060818","Crystal OBRIEN","Retail","Online","Higher Education","Married","LOC_ID_604","","DE"
"Full-Time","One","Gold","Semi-Detached	","PN03-080919","Earleen E OBRIEN","Transportation","Refferal","Aprenticeship","Widowed","LOC_ID_604","","C2"
"Full-Time","One","Gold","Apartment","PN02-115909","Jolynn OBRIEN","Health","Online","Degree","Single","LOC_ID_607","","C2"
"Full-Time","Two","Silver","Apartment","PN-014921","Mignon OBRIEN","Professional, Scientific and Technical","Online","Degree","Divorced","LOC_ID_619","","AB"
"Full-Time Student","One","Silver","Semi-Detached	","PN01-022627","Roma OBRIEN","Retail","Event","High School","Married","LOC_ID_619","","DE"
"Retired","Two","Bronze","Apartment","PN02-020412","Teofila T OBRIEN","Public Administration and Defence","Refferal","Other","Divorced","LOC_ID_619","","AB"
"Self Employed","Two","Platinum","Semi-Detached	","PN03-040086","Ariel A OCHOA","Health","Online","Degree","Divorced","LOC_ID_619","","DE"
"Self Employed","One","Bronze","Detached","PN03-049360","Ashley OCHOA","Construction","Online","Higher Education","Single","LOC_ID_619","","C2"
"Retired","Three","Bronze","Terraces","PN02-091648","Edison OCHOA","Transportation","Online","Higher Education","Widowed","LOC_ID_62","","DE"
"Full-Time","One","Platinum","Detached","PN01-071344","Kathie OCHOA","Health","Refferal","Degree","Single","LOC_ID_627","","C1"
"Unemployed","Three","Gold","Apartment","PN02-112542","Lon OCHOA","Accommodation and Food","Online","High School","Single","LOC_ID_627","","DE"
"Self Employed","One","Platinum","Terraces","PN03-046752","Mariela OCHOA","Retail","Refferal","High School","Single","LOC_ID_627","","DE"
"Other","One","Gold","Detached","PN-077050","Rosetta OCHOA","Public Administration and Defence","Event","Degree","Single","LOC_ID_630","","C1"
"Part-Time","Zero","Gold","Apartment","PN01-004559","Sadye OCHOA","Education","Online","Degree","Single","LOC_ID_630","","C1"
"Full-Time","Two","Platinum","Apartment","PN01-058406","Tammara OCHOA","Health","Online","Aprenticeship","Single","LOC_ID_630","","C2"
"Unemployed","One","Bronze","Detached","PN03-022877","Arletha OCONNELL","Education","Online","Higher Education","Divorced","LOC_ID_630","","C2"
"Part-Time","One","Silver","Apartment","PN03-060129","Carina OCONNELL","Health","Refferal","Higher Education","Single","LOC_ID_630","","C1"
"Full-Time","Two","Gold","Detached","PN-002354","Collette OCONNELL","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_633","","AB"
"Part-Time","One","Silver","Detached","PN01-062353","Morgan r OCONNELL","Health","Refferal","Degree","Married","LOC_ID_634","","C2"
"Full-Time","One","Gold","Detached","PN02-023154","Rory OCONNELL","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_634","","AB"
"Full-Time","Three","Platinum","Apartment","PN02-076783","Sherilyn S OCONNELL","Health","Retail","High School","Single","LOC_ID_634","","C1"
"Self Employed","Two","Gold","Apartment","PN03-005322","Tequila OCONNELL","Accommodation and Food","Event","Higher Education","Single","LOC_ID_634","","DE"
"Self Employed","Two","Platinum","Detached","PN04-006738","August A ODONNELL","Construction","Online","Aprenticeship","Single","LOC_ID_634","","C2"
"Full-Time","One","Gold","Terraces","PN03-008252","Damaris ODONNELL","Manufacturing","Refferal","Aprenticeship","Divorced","LOC_ID_652","","DE"
"Self Employed","One","Silver","Terraces","PN04-010855","Diamond ODONNELL","Public Administration and Defence","Refferal","Aprenticeship","Separated","LOC_ID_652","","C1"
"Part-Time","One","Bronze","Apartment","PN01-082985","Leatrice ODONNELL","Manufacturing","Refferal","Higher Education","Single","LOC_ID_670","","C1"
"Unemployed","One","Silver","Apartment","PN02-027496","Valerie ODONNELL","Education","Online","Higher Education","Single","LOC_ID_681","","C2"
"Full-Time","One","Gold","Apartment","PN03-027023","Alisia OLIVER","Retail","Online","High School","Single","LOC_ID_681","","C2"
"Part-Time","One","Platinum","Terraces","PN-124436","Elane e OLIVER","Retail","Online","Other","Single","LOC_ID_685","","C2"
"Unemployed","One","Silver","Apartment","PN-087652","Noemi OLIVER","Transportation","Online","Degree","Single","LOC_ID_686","","DE"
"Full-Time","One","Silver","Apartment","PN01-057951","Rosamaria OLIVER","Transportation","Refferal","High School","Single","LOC_ID_686","","DE"
"Part-Time","One","Silver","Apartment","PN03-022227","Virgen r OLIVER","Health","Refferal","Higher Education","Single","LOC_ID_686","","C1"
"Full-Time","One","Gold","Semi-Detached	","PN03-056380","Adelia OLSEN","Retail","Online","Other","Single","LOC_ID_686","","C2"
"Self Employed","One","Gold","Detached","PN01-028693","Ezequiel E OLSEN","Retail","Refferal","High School","Single","LOC_ID_687","","C1"
"Full-Time","One","Bronze","Terraces","PN02-028012","Jacquetta OLSEN","Public Administration and Defence","Online","High School","Single","LOC_ID_687","","DE"
"Unemployed","One","Platinum","Detached","PN04-022553","Madison OLSEN","Professional, Scientific and Technical","Online","Other","Single","LOC_ID_687","","AB"
"Full-Time","One","Gold","Apartment","PN-109331","Olene OLSEN","Professional, Scientific and Technical","Online","Degree","Widowed","LOC_ID_70","","AB"
"Unemployed","One","Bronze","Apartment","PN03-083176","Su OLSEN","Professional, Scientific and Technical","Refferal","Degree","Married","LOC_ID_70","","AB"
"Full-Time","Two","Gold","Apartment","PN01-112468","Cherrie OLSON","Accommodation and Food","Event","High School","Same Sex","LOC_ID_701","","C2"
"Full-Time","One","Bronze","Semi-Detached	","PN03-099900","Dwight OLSON","Health","Online","Degree","Divorced","LOC_ID_701","","C1"
"Retired","Three","Bronze","Apartment","PN-041818","Felica OLSON","Transportation","Online","Degree","Single","LOC_ID_705","","DE"
"Full-Time","One","Silver","Apartment","PN01-056969","Hortense OLSON","Health","Online","Degree","Single","LOC_ID_705","","C2"
"Self Employed","One","Silver","Terraces","PN02-052317","Jeramy J OLSON","Education","Online","Higher Education","Single","LOC_ID_705","","C1"
"Retired","One","Gold","Detached","PN03-085396","Shavonne OLSON","Retail","Event","Other","Divorced","LOC_ID_717","","DE"
"Unemployed","One","Bronze","Apartment","PN-106345","Trang OLSON","Public Administration and Defence","Online","High School","Single","LOC_ID_72","","AB"
"Full-Time","One","Bronze","Apartment","PN01-065211","Verona OLSON","Energy Supply","Online","Aprenticeship","Single","LOC_ID_72","","C2"
"Part-Time","One","Silver","Apartment","PN02-009243","Adell ONEILL","Manufacturing","Refferal","Degree","Married","LOC_ID_72","","C1"
"Full-Time","One","Silver","Terraces","PN03-099916","Barrie B ONEILL","Public Administration and Defence","Online","Other","Single","LOC_ID_72","","AB"
"Self Employed","Two","Bronze","Apartment","PN-024942","Charleen l ONEILL","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_724","","C1"
"Full-Time Student","One","Silver","Terraces","PN01-030813","Jeramy ONEILL","Water Supply","Online","Aprenticeship","Separated","LOC_ID_724","","C1"
"Self Employed","Three","Bronze","Apartment","PN02-028606","Margene ONEILL","Retail","Online","Higher Education","Single","LOC_ID_724","","DE"
"Full-Time","Two","Gold","Detached","PN04-027240","Whitney W ONEILL","Public Administration and Defence","Online","Other","Single","LOC_ID_724","","AB"
"Retired","Four","Gold","Apartment","PN01-098974","Burton B OROZCO","Accommodation and Food","Online","High School","Divorced","LOC_ID_737","","C2"
"Full-Time","One","Platinum","Detached","PN03-011057","Clarence OROZCO","Professional, Scientific and Technical","Online","Higher Education","Married","LOC_ID_737","","AB"
"Full-Time Student","One","Gold","Detached","PN-006198","Deadra OROZCO","Education","Online","Higher Education","Separated","LOC_ID_74","","C2"
"Self Employed","Three","Silver","Detached","PN01-086514","Justine J OROZCO","Accommodation and Food","Online","Other","Single","LOC_ID_74","","C2"
"Other","Two","Bronze","Detached","PN01-099169","Kaylee K OROZCO","Education","Retail","Aprenticeship","Separated","LOC_ID_74","","C1"
"Full-Time Student","One","Platinum","Detached","PN02-098025","Meredith M OROZCO","Water Supply","Online","Degree","Single","LOC_ID_74","","C2"
"Full-Time Student","One","Silver","Semi-Detached	","PN03-003950","Oren O OROZCO","Retail","Online","High School","Single","LOC_ID_74","","C2"
"Full-Time","One","Silver","Apartment","PN03-006897","Pandora P OROZCO","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_74","","AB"
"Unemployed","One","Gold","Semi-Detached	","PN03-084428","Sherly OROZCO","Education","Online","Aprenticeship","Divorced","LOC_ID_74","","C2"
"Full-Time","One","Silver","Terraces","PN03-114310","Tammy OROZCO","Education","Online","Higher Education","Single","LOC_ID_74","","C1"
"Full-Time","Four","Platinum","Apartment","PN03-115405","Tawanna T OROZCO","Accommodation and Food","Online","Higher Education","Divorced","LOC_ID_74","","DE"
"Full-Time","One","Gold","Semi-Detached	","PN04-023477","Danita ORR","Accommodation and Food","Online","Higher Education","Married","LOC_ID_752","","C2"
"Unemployed","One","Silver","Apartment","PN03-118803","Kandy K ORR","Retail","Online","High School","Separated","LOC_ID_756","","C2"
"Self Employed","Two","Platinum","Semi-Detached	","PN04-008459","Miki ORR","Retail","Online","Higher Education","Single","LOC_ID_768","","C2"
"Part-Time","Zero","Gold","Apartment","PN-028524","Rocco ORR","Accommodation and Food","Online","High School","Divorced","LOC_ID_77","","DE"
"Part-Time","One","Bronze","Semi-Detached	","PN-052219","Roselia ORR","Public Administration and Defence","Refferal","High School","Divorced","LOC_ID_77","","DE"
"Full-Time","Two","Bronze","Semi-Detached	","PN01-014814","Verdell V ORR","Professional, Scientific and Technical","Refferal","Higher Education","Single","LOC_ID_77","","AB"
"Part-Time","Three","Gold","Detached","PN01-086027","Anne ORTEGA","Construction","Online","Higher Education","Single","LOC_ID_77","","C1"
"Full-Time","Four","Bronze","Semi-Detached	","PN02-005853","Carylon C ORTEGA","Health","Online","Degree","Widowed","LOC_ID_77","","C1"
"Other","One","Gold","Detached","PN02-012115","Chandra ORTEGA","Accommodation and Food","Event","Higher Education","Same Sex","LOC_ID_77","","C2"
"Other","One","Gold","Semi-Detached	","PN-029909","Marquerite ORTEGA","Transportation","Online","Other","Divorced","LOC_ID_79","","DE"
"Full-Time","Two","Silver","Apartment","PN01-118828","Perry ORTEGA","Accommodation and Food","Online","Higher Education","Married","LOC_ID_79","","C2"
"Full-Time","One","Gold","Terraces","PN02-015649","Raleigh ORTEGA","Health","Online","Degree","Single","LOC_ID_79","","DE"
"Full-Time Student","Two","Platinum","Detached","PN02-028042","Rebecca ORTEGA","Professional, Scientific and Technical","Refferal","Other","Married","LOC_ID_79","","AB"
"Full-Time","One","Gold","Apartment","PN01-010359","Ami i ORTIZ","Retail","Refferal","Higher Education","Divorced","LOC_ID_802","","C2"
"Other","One","Silver","Apartment","PN02-126622","Bo B ORTIZ","Manufacturing","Retail","Aprenticeship","Single","LOC_ID_802","","DE"
"Full-Time","One","Bronze","Apartment","PN02-125707","Ismael I ORTIZ","Education","Online","Degree","Separated","LOC_ID_817","","C1"
"Part-Time","One","Silver","Detached","PN-071006","Clair OSBORNE","Retail","Online","Other","Married","LOC_ID_861","","DE"
"Full-Time","One","Silver","Semi-Detached	","PN-076411","Marty OSBORNE","Retail","Retail","Higher Education","Single","LOC_ID_881","","DE"
"Part-Time","One","Gold","Semi-Detached	","PN03-118964","Terry OSBORNE","Health","Online","Degree","Single","LOC_ID_881","","C1"
"Full-Time","Two","Bronze","Terraces","PN-071744","Cliff OWEN","Health","Online","Degree","Single","LOC_ID_901","","C1"
"Full-Time","One","Gold","Apartment","PN02-000709","Eleni E OWEN","Transportation","Online","Other","Divorced","LOC_ID_901","","C2"
"Part-Time","One","Platinum","Detached","PN02-069711","Ethan OWEN","Health","Event","Higher Education","Single","LOC_ID_901","","C1"
"Full-Time","One","Gold","Terraces","PN04-011192","Janett J OWEN","Public Administration and Defence","Refferal","Other","Single","LOC_ID_901","","AB"
